Yorum;Sahte [0] / Gerçek [1];urun
ilk kurarken biraz zorlandım kullandıkça o bana ben ona alıştıkşimdiaramız çok iyi sorunsuz çalışıyor görevini de layıkıyla yapıyor.;1;Roborock S5 Max Robot Süpürge
Hızlı bir şekilde elime ulaştı beni aşırı rahatlatacak gibi duruyor.;1;Roborock S5 Max Robot Süpürge
çalışan herkesin evinde olması gerekir memnunum;1;Roborock S5 Max Robot Süpürge
Böyle bir teknoloji.. İyi ki almışım.;1;Roborock S5 Max Robot Süpürge
Çalışan ve çocuklu bir kadın olarak kendime yaptığım en büyük iyilik....;1;Roborock S5 Max Robot Süpürge
Kendinize yapabileceğiniz en güzel şey. Çok kullanışlı ilk kullanımdanönce dyson ile supurmeme rağmen yine toz çıkardı.;1;Roborock S5 Max Robot Süpürge
ürün kurulumu ve haritalandırmada tereddütlerim vardı fakat gayet kolaybirşekilde kurulumu yapılıyor haritalandırmayı ise ilk açılışta kendiyapıyor.ilk açılışta dil ingilizce fakat roborock uygulamasından dilitürkçe yapabiliyorsunuz ürün malzeme kalitesi olarak da beklenileni karışlıyor;1;Roborock S5 Max Robot Süpürge
Gayet memnunuz, haritalandırması temizliği, uygulamadan kullanımı gayetkolay, bir kere haritalandırmak yeterli oluyor sonra odaları ayrı ayrıtemizletebiliyorsunuz. Eşya yer değişiklikleri önemli değil kendisigeçebileceği yerleri keşfederek ilerliyor kesinlikle tavsiye ederim.Kameralı olanlara hiç gerek yok.;1;Roborock S5 Max Robot Süpürge
Mukemmel bir urun butcesi olan herkese tavsiye ediyorum;1;Roborock S5 Max Robot Süpürge
iyki almışım evin kızı;1;Roborock S5 Max Robot Süpürge
Arkadaşımın önerisi ile aldım çok memnunum ;1;Roborock S5 Max Robot Süpürge
Bayıldık kesinlike her evde olmalı;1;Roborock S5 Max Robot Süpürge
alın aldırın elim ayağim kolum özellikle evcil hayvan besleyenler icinharika bir makine;1;Roborock S5 Max Robot Süpürge
çok memnun kaldık iyi ki almışız aynı yeri birkaç defa geçiyor tozbırakmıyor. Kızım küçük olduğu için çok şey döküyor yere robot alıncarahatladık, dusunmeden alabilirsiniz;1;Roborock S5 Max Robot Süpürge
haritalandırma yaparken zorlandım ama kullandığımda gördüm ki ben bugünekadar evimi süpürmemişim muhteşem bişey;1;Roborock S5 Max Robot Süpürge
Ürüne bayıldım büyük kolaylık;1;Roborock S5 Max Robot Süpürge
Gerçekten satıcıdan çekinerek aldım ancak çok memnun kaldım hızlı kargogüzel paket. Ürüne gelirsek de fazla halı kullanmayan birileri olarakçok memnun kaldık. Mutfak da büyük kurtarıcı;1;Roborock S5 Max Robot Süpürge
Kargosu o kadar hızlıydı ki inanamadım. Çok kullanışlı iyi ki almışımdediğim ürün. Mutlaka almalısınız. Satıcıya da özeni ve ilgisi için teşekkürler.;1;Roborock S5 Max Robot Süpürge
Çok memnunum, keşke daha önce alsaymışım. Almak değil almamak pişmanlıkbu robotu, her şey çok özenliydi teşekkürler ilginize ;1;Roborock S5 Max Robot Süpürge
Bir haftadır kullanıyorum çok çok memnunum  üç çocuklu bir evde yenitemizlik yapılmış olsa dahi yerlerde duvar kenarlarında toz ve halıtüyleri olması kaçınılmazdı. Şimdi tozdan eser yok evim her gün tertemiz iyi ki dediğim nadir ürünlerden ;1;Roborock S5 Max Robot Süpürge
Çalışan ve çocuklu biri olarak aldigimdan beri çok memnunum.Supurmesiçok iyi silmesi de suyla olabilecek en iyi şekilde.Olumsuz yorumlara iyiki takilmamisim.O supururken ben dinleniyorum tavsiye ederim.;1;Roborock S5 Max Robot Süpürge
En iyi arkadaşım süper tavsiye ederim ben işte o evde çalışıyor ;1;Roborock S5 Max Robot Süpürge
en çok satılan robot ve çevrem de en çok kullanılıp memnun olunanrobottu o yüzden tercih ettim, çok başarılı;1;Roborock S5 Max Robot Süpürge
Bu kadar iyi performans beklemiyordum doğrusu. Alınabilecek en güzelrobot süpürge diyebilirim özellikle biraz kullandıktan sonra yorumyapmak istedim ve çok memnun kaldım alacak olanlar hiç düşünmesin;1;Roborock S5 Max Robot Süpürge
Hayatınız da görüp görebileceğiniz en kaliteli robot süpürge resmenkolaylık. Alın ve aldırın kesinlikleeee;1;Roborock S5 Max Robot Süpürge
Valla iyiki almışım diyorum çok memnunum katyamdan hergün sağolsun osüpürüyo evleri;1;Roborock S5 Max Robot Süpürge
Harika bir ürün bütün bayanlara şart  teşekkürler Trendyol;1;Roborock S5 Max Robot Süpürge
Kesinlikle aşın aldırın günlük işlerimi kolaylaştırdı özellikle çoçukluolanlar hiç düşünmeden alsın;1;Roborock S5 Max Robot Süpürge
kaliteli urun emiş gucu iyi guzel temizliyor gunluk temizlik icin ideal.;1;Roborock S5 Max Robot Süpürge
Çok güzel temizliyor bize de daha çok boş zaman kaliyor. Alacaklaratavsiye ederim;1;Roborock S5 Max Robot Süpürge
Ürün gerçekten hayatımızı kolaylaştırıyor. Anneme almıştım bir haftakendi evimde deneyim ve aşırı pratik ben çok sevdim. Temizlik hastasıolmama rağmen hayatımı kolaylaştırdı. Halı püsküllerine takılmıyor.Silmesini sevdim tabi ki kendiniz çamaşır suyuyla evi silmiş gibiolmuyor ama yine de çok sevdim. 4 bin ₺ aldım;1;Roborock S5 Max Robot Süpürge
çok memun kaldım performansından;1;Roborock S5 Max Robot Süpürge
Elim ayağım oldu gerçekten köpeğimden dolayı aldım ve iyi ki almışımdiyorum. Çok iyi temizliyor;1;Roborock S5 Max Robot Süpürge
Çok memenun kaldım, sorunsuz çalışıyor. İşimi çok kolaylaştırdı.;1;Roborock S5 Max Robot Süpürge
Çok memnun kaldım.Tavsiye ederim.Tertemiz yapıyor.;1;Roborock S5 Max Robot Süpürge
Tşk çok güzel çok maharetli;1;Roborock S5 Max Robot Süpürge
Çok iyi bir ürün kesinlikle tavsiye ederim, gidipte xiaomi almayın ;1;Roborock S5 Max Robot Süpürge
Adı sakir her eve lazım cok memnunum;1;Roborock S5 Max Robot Süpürge
Evde cok buyuk kolaylık sağladı. İyi ki almışım. Tereddütlerim vardıancak fiyatının karşılığını zaman içerisinde verem bir ürün. Birdenfazla harita yapılabiliyor, bölge seçimi, oda seçimi özelliği mevcut.Toz haznesinçn boyutu yeterli ;1;Roborock S5 Max Robot Süpürge
Uzun zaman araştırdık ve bu modele karar verdik iyi ki almışız o kadarmemnunum ki iş gücü mü yarı yarıya azalttı özellikle çalışan bayanlarmutlaka almalı;1;Roborock S5 Max Robot Süpürge
memnun kaldim cok ii supuruyo hayatimi kolaylastirdi super bir urun;1;Roborock S5 Max Robot Süpürge
kesinlikle alınması gereken bı ürünmuş. çok memnun kaldım . ilk başlardaön yargim çok vardı. alıp almamakta çok kararsız kalmıştım. şimdi iyikialmışım diyorum herkese tavsiye ediyorum. alın aldırın ;1;Roborock S5 Max Robot Süpürge
Kendim beğenerek kullanıyordum anneme de aldım. İnanılmaz kolaykullanımlı bir ürün. Herkese şiddetle tavsiye ;1;Roborock S5 Max Robot Süpürge
Öncelikle ürünü çok araştırmış birisi olarak ilk deneyimlerimi paylaşmakisterim . Ürün sipariş verdiğiniz ertesi gün geldi . Kurulum aşamasındabiraz bulmada telefona kurup cihazı bulmada sorun yaşadık ama sonundabağladık . Ürün çok çok iyi engelleri çok güzel aşıyor bir çok modu varbölge oda bütün ev istediğiniz secenekle calistiriyorsunuz ;1;Roborock S5 Max Robot Süpürge
harika bir urun uzun araştırmalarında bunu almaya karar verdim çok güzeliş görüyor rahatlık diyebilirim çalışan ve bebeği olanlar için harikabir urun isim hafifladi;1;Roborock S5 Max Robot Süpürge
İnanılmaz birşey evin en büyük yardımcısı oldu kesinlikle alın aldırın;1;Roborock S5 Max Robot Süpürge
8 aydır kullaniyorum ve çok memnunum. Büyük bir yardımcı bence ve zamansize kalıyor...;1;Roborock S5 Max Robot Süpürge
Yorumlara bakarak aldım. Keşke daha önce alsaydım dedim . Çok pratik vekullanımı çok kolay bir ürün;1;Roborock S5 Max Robot Süpürge
Teslimat kargolama gayet güzel ve hızlı ürün çok güzel çalışan eşleriçin mükemmel buluş teşekkürler.;1;Roborock S5 Max Robot Süpürge
O kadar memnunum o kadar memnunum bu ürünü üreten Nur içinde yatsın Hevallahi  eskiden evimde biriken tozlar hortum olup hafif bir esintideuçuşurdu şimdi evim tertemiz , elektronik gırgır diyenlere gülüyorumürün mükemmel kesinlikle alın kredi çekin alın o derece mükemmelll.;1;Roborock S5 Max Robot Süpürge
yaklaşık 3 aydır kullanıyoruz. yorumlara bakarak eşime almıştım. eşimçok sevdi elim ağayım oldu diyor. evde kedi var hergün bir tur evidolanıyor biz çok sevdik. fakat biz aldığımızda yarı fiyatıydı nolmuşbunun fiyatına böyle 6bin yazıyor;1;Roborock S5 Max Robot Süpürge
Mükemmel bir ürün keşke daha önce alsaydık;1;Roborock S5 Max Robot Süpürge
bu zamana kadar kendime yaptığım en büyük iyilik. çekiş gücü çok güzelartık evde halı tozu olmuyor. evime yardımcı aldıktan sonra süpürgeyiçalıştırdim ve toz haznesi doldu çok şaşkınım nerden çıktı o kadar toz.merak edenler için evimde ki halılar püsküllü ve takılmıyor;1;Roborock S5 Max Robot Süpürge
harika bir cihaz çok iyi temizliyor;1;Roborock S5 Max Robot Süpürge
Annem için aldık üründen çok memnunuz;1;Roborock S5 Max Robot Süpürge
Daha önce almadığım için çok pişmanım gerçekten mucize. Kurulumukullanımı çok kolay. Herkese tavsiye ederim;1;Roborock S5 Max Robot Süpürge
bel ağrısı yüzünden doktor doktor gezdim bu süpürgeyi alınca belimağrısı falan geçti.roborock şirketi bunu nasıl pazarladığımı duysa kesinbir depertmanda iş verirdi bana. övmediğim bir dakika bile yok.etrafımdaki herkese yedirmeyip içirmeyip para biriktirtiyorum ve bundanaldırıyorum 1 yıl oldu alalı 3.500 liraya almıştım;1;Roborock S5 Max Robot Süpürge
urun cok kisa surede elimizde oldu.kurmasi ,ayarlamasi gayet basit. evitanitin sonrasi onda.. dusunmeden alinabilir bir cihaz ...;1;Roborock S5 Max Robot Süpürge
Süper bir icat şiddetle tavsiye ediyorum işini gayet güzel yapıyor;1;Roborock S5 Max Robot Süpürge
Kaliteli, beklentimi karşıladı. Garantisi içindeydi.;1;Roborock S5 Max Robot Süpürge
çekim gücü çok iyi begendim çalışan bayanlar için harika bir kurtarıcı;1;Roborock S5 Max Robot Süpürge
Her evde olması gereken bir ürün;1;Roborock S5 Max Robot Süpürge
iyi ki almışım pek akıllı kendileri;1;Roborock S5 Max Robot Süpürge
Kendime yaptığım en iyi yatırım. Anneme de aldık günlük tertemizoturuyoruz evde;1;Roborock S5 Max Robot Süpürge
Uzun araştırmalar sonucu bu ürünü almaya karar verdik. Oldukça memnunuz,evdeki iş yükümü çok azalttı. Bütçesine uygun olan herkese tavsiye ederim.;1;Roborock S5 Max Robot Süpürge
Yaa geç aşdığım için çok pişmanım çok memnunum yani elim kolum olduözellikle çalışan hanımlar hepinize tavsiye ediyorum;1;Roborock S5 Max Robot Süpürge
Ürün faturasıyla birlikte 2günde elime ulaştı. Bence bebekli evlerinvazgeçilmezi. Çok uzun süre araştırdım, farklı sitelerdeki yorumları vevideoları inceledikten sonra bu ürüne karar verdim. Evet biraz pahalıdiye düşünebilirsiniz ama bence buna değer. Çok sevdiğim bir anne@mervetiritoğlu’nun bir lafı var “alınmış alınmıştır.” İyiki almışım;1;Roborock S5 Max Robot Süpürge
Neden daha önce almamışım dediğim bir ürün çekim gücü gayet iyi;1;Roborock S5 Max Robot Süpürge
kendine iyilik yapmak istiyen ozellikle calisan bayanlarr elim ayagim olduu;1;Roborock S5 Max Robot Süpürge
uzun süre araştırdıktan sonra aldım halıya çıkıyor sadece koltuklarınaltına girmedi temizleyebildiği her yeri çok iyi temizliyor haritalamave mobil uygulama kullanımı en büyük güzelliği;1;Roborock S5 Max Robot Süpürge
çok fazla birşey söylemeye gerek yok keşke daha önce alsaydimdiyenlerdenim .hem daha ucuza almış olurdum .almak isteyenler düşünmedenalsın derim .haritalamasii çok başarılı günlük temizlik için ideal bir ürün;1;Roborock S5 Max Robot Süpürge
harika ötesi 3.kızım ;1;Roborock S5 Max Robot Süpürge
Uzun süredir kullanıyoruz çok memnunuz;1;Roborock S5 Max Robot Süpürge
Robot süpürge tahminimden iyi çıktı. 1. seviye silme ayarıyla halılarıda çok güzel siliyor. Köşeleri bile güzel süpürdü. Almadan önce çokaraştırdım. İyi bir tercihte bulunmuşum.Tavsiye ederim;1;Roborock S5 Max Robot Süpürge
iyiki almışım çok çok memnunum. işimi kolaylaştırdı ..evimizin birüyesi gibi oldu pakizecim bütçeniz varsa hiç düşünmeden alın;1;Roborock S5 Max Robot Süpürge
İki yıldır biz kullanıyoruz bunu da arkadaşa aldım . Ürün çok güzel.Halı üzerinde çekim kuvveti artıyor. Resmen elimiz ayağımız oldu.;1;Roborock S5 Max Robot Süpürge
İyi ki almışım, her gün 2 kez ev süpürdüğüm için hayatımıkolaylaştırdığı kesin;1;Roborock S5 Max Robot Süpürge
Valla harika. Kendime yaptığım en büyük iyilik. Süper ötesi. Biliyorumçok para ve şuan iyice yükseldi. Ama alın, gerçekten çok büyük rahatlık.;1;Roborock S5 Max Robot Süpürge
Herkese tavsiye ederim çok güzel temizliyor alan hiç pişman olmaz;1;Roborock S5 Max Robot Süpürge
Güzel süpürüp siliyor çok rahatlik;1;Roborock S5 Max Robot Süpürge
heryere giriyor emiş gücü iyi silmesinide çok beğendim ıslak bırakmıyor;1;Roborock S5 Max Robot Süpürge
Çok araştırarak almıştım iyi ki bu marka almışım çok güzel temizliyorçalışan bir kadınım evimde büyük rahatlık;1;Roborock S5 Max Robot Süpürge
piyasadaki en iyi ürünlerden biri, premium hissini fazlasıyla aliyorsunuz.;1;Roborock S5 Max Robot Süpürge
iyiki almışım diyeceğiniz harika bir ürün, dip köşe giremiyor eşyalardandolayı o yüzden eşya konumlandırmasına dikkat edin. silmesinden desüpürmesinden aşırı memnun kaldım. sildikten sonra hemen kuruyor sıkıntıoluyor. başka bir iş yaparken başlatıyorum o süpürüp hallediyor. yenitemizlenmiş evden bile öyle toz çıkarttı ki kendimden şüphe ettim;1;Roborock S5 Max Robot Süpürge
Robot süpürgede en iyisi ve en güveniliri demişlerdi,çok haklılar…süpürme özelliği beklediğimden de iyi çıktı özellikle çalışanlaratavsiye ediyorum.Silme özelliğini çok kullanmıyorum ama süpürme süper ;1;Roborock S5 Max Robot Süpürge
muhteşem bir ürün kurulumu çok rahat iyiki almışım yüküm hafiflediteşekkürler ;1;Roborock S5 Max Robot Süpürge
Tek kelimeyle harika çalışan biri olarak işimi o kadar kolaylaştırdıki;1;Roborock S5 Max Robot Süpürge
Sorunsuz bir şekilde geldi garantisiyle çoook memnunum;1;Roborock S5 Max Robot Süpürge
Gerçekten çok başarılı ürün xiomi ile arasında kaldım iyiki de bunualmışım 1 gün içinde elime ulaştı kargolama da başarılı neden bu kadaryıldız aldığı belli tavsiye ederim.;1;Roborock S5 Max Robot Süpürge
Hemen geldi memnun kaldım. Kurulumu falan çok kolay aslında. İngilizcebilmeyenler için belki bi tık zor gelir. Umarım uzun ömürlü ve bolverimli kullanırım.;1;Roborock S5 Max Robot Süpürge
cokkkkk memnun kaldım elım ayagım oldu sılmesınden cok memnun deılım amasupurmesı cok cok ıyı;1;Roborock S5 Max Robot Süpürge
Çok memnunum anneme de almıştım kaliteli bir süpürge;1;Roborock S5 Max Robot Süpürge
Satıcı cok hızlı kargoladı robota bayıldım zaten cekiş gücü cok iyiyorumlara bakarak almıştım gayet memnunum;1;Roborock S5 Max Robot Süpürge
iyiki almışım dediğim en güzel ürün elim kolum oldu bildiğin evdeolmadığım zaman bile çalıştırıyorum ben gelene kadar her yeri tertemiz yapıyor;1;Roborock S5 Max Robot Süpürge
Ürün çok kaliteli, satıcı çok ilgilendi sağolsun.;1;Roborock S5 Max Robot Süpürge
Harika bir ürün firmaya teşekkür ederim;1;Roborock S5 Max Robot Süpürge
ismini pakize koyduk ve çok memnunuz:);1;Roborock S5 Max Robot Süpürge
Hızlı ve güvenli kargo için öncelikle teşekkürler. Ürün kurulumu vekullanımı çok basit. Gayet memnunuz;1;Roborock S5 Max Robot Süpürge
üründen çok memnun kaldım. yaklaşık 1 hafta oldu ve evdeki var olansüpürgemizi çalıştırmaya hiç ihtiyaç duymadık. cok iyi bence. emiş gücüde silme özelliği de gayet başarılı. kesinlikle tavsiye ederim. bor dealan kişinin yararına birer tane yedek bez, filtre ve fırça gelseymisçok çok iyi olacakmış. yedeklerini mutlaka alacagim. Gayet başarılı...;1;Roborock S5 Max Robot Süpürge
Çookkk memnun kaldım. Bir kaç gün test ettim. Harika tek kelime ile.Düşünmeden alın derim. Ayrıca kargo çok hızlıydı. 1 günde elime ulaştısağlam bir şekilde. Çok teşekkür ederim.;1;Roborock S5 Max Robot Süpürge
Kendimi aldığım için ve üretici firmayı çok güzel bir ürün olduğu içintebrik ediyorum;1;Roborock S5 Max Robot Süpürge
süper bir ürün. büyük kolaylık. tavsiye ederim. özellikle iki kediniz varsa.;1;Roborock S5 Max Robot Süpürge
Süper süper imkanı olan hiç kaçırmasın;1;Roborock S5 Max Robot Süpürge
Özellikle evcil hayvanı olanlar kesinlikle alsın, hem iş gücü hem zamankazanımına değer ve her yer pırıl pırıl ;1;Roborock S5 Max Robot Süpürge
Gayet kaliteli bir ürün. kullanımı ve kurulumu kolay.;1;Roborock S5 Max Robot Süpürge
her eve lazım ve almışken kaliteli olması gerektiğini düşündüğümürünlerden biri. ben çok sevdim;1;Roborock S5 Max Robot Süpürge
elim ayağım canım robotum çok çok memnunum bence en iyisi bu kesinliklealın aldırın ;1;Roborock S5 Max Robot Süpürge
Dyson süpürge ile birlikte bunu da almıştım, dysondan çok memnun kalıncabunu dolap uygulamasında sattım. Ama ürünün çok kaliteli olduğunubilerek almıştım;1;Roborock S5 Max Robot Süpürge
gayet memnunum keşke daha önce alsaydım;1;Roborock S5 Max Robot Süpürge
elim ayağım herşeyimsin her kadının mutlaka olmali;1;Roborock S5 Max Robot Süpürge
Ben 4000 lirayken satın almıştım. İyi ki de almışım. Evimin vazgeçilmezioldu. Çekiş gücü haritalaması herşeyiyle çok güzel. uzun araştırmalarımsonucunda aldım zaten. fakat evinizde internet bağlı değilse biraz zorkullanırsınız. kullanmak için internet gerekiyor.;1;Roborock S5 Max Robot Süpürge
kendim icin yaptigim en iyi sey kwske daha omceden alsaydın rahatlikkher eve lazim;1;Roborock S5 Max Robot Süpürge
Uzun süre araştırma sonucunda bu marka ve modele karar verdik. Süpürmesiçok iyi kurulumu çok kolay su tankı dolu olduğu zaman makineye ağırlıkveriyor güzel süpürmüyor. herkese tavsiye ederim. Bu kadar rahatolduğunu bilseydim önceden alırdım. Hiç düşünmeyin alın.;1;Roborock S5 Max Robot Süpürge
Cok tesekkür ederiz anneme aldık cok memnun alın aldırın bende almıstımbenim yarı yardımcım oldu cocuk eve sart;1;Roborock S5 Max Robot Süpürge
aşk yaşıyor olabirim çok memnunum tavsiye ederim. elim ayağım büyükkızım oldu kendileri sağolsunlar. bir kadinin kendine yapacahi en güzeliyiliklerden diye düşünüyorum. almayi düşünüyorsanız kesinliklekaçırmayın. siz kahvenizi içerken o işine baksın bu arada Bebegiolanlar ekstra şanslı salın robotu ortalığa minikler de onun peşinde;1;Roborock S5 Max Robot Süpürge
alırken çok araştırma yaptım çok kararsızdim fakat aldıktan sonra çokmemnun kaldım alın aldırın ;1;Roborock S5 Max Robot Süpürge
Süper çok beğendim evi güzel temizliyor;1;Roborock S5 Max Robot Süpürge
Iyi ki almışım büyük süpürgeyi açmıyorum nerdeyse. Bel fıtığım var eğilkalk her temizlikte belim tutuluyordu, cok rahat ettim.;1;Roborock S5 Max Robot Süpürge
Anneme aldik cok memnun ev buyuk oldugu icin supurme suresi 1 saatibuluyo ama o kadar guzel supuruyoki cidden cok memnun kaldik tavsiye ederiz;1;Roborock S5 Max Robot Süpürge
165 m2 evim iki aydır kullanıyorum kendime yaptığım en güzel iyilik alın aldırın;1;Roborock S5 Max Robot Süpürge
çok beğendik hemen geldi..kurulumu kolay...güzelce temisliyir;1;Roborock S5 Max Robot Süpürge
Tavsiye ederim. Çalışan bayanların kurtarıcısı;1;Roborock S5 Max Robot Süpürge
Evim küçük gerek yok diye çok düşündüm ama hiç düşünmeye gerek yok amaev ne kadar sade eşyasız ise o kadar rahat oluyor ben çok beğendım;1;Roborock S5 Max Robot Süpürge
Haaariiikaaaaaa bir urun bu gune kadar almadığına pişman oldum altyapıdan dolayı internet olmadığı için almamıştım kurulum yapamam diyeama komşunun wi-fi den bağlandık ve hicbir sıkıntı olmadıharitalandirmayi da çok rahat yaptı evim 3 katlı çoklu haritalandirmaözelliğinden dolayı bu modeli tercih ettim iyiki de bunu almışım çekimgücü sensoru harika;1;Roborock S5 Max Robot Süpürge
Evin vazgeçilmezi oldu. Anneme alabileceğim en güzel ürün. Hayatıkolaylaştırıyor. Teknolojinin faydalı kısmından;1;Roborock S5 Max Robot Süpürge
Tüm evler için rahatlık gerçekten artık ev süpürme işine son;1;Roborock S5 Max Robot Süpürge
Günlük temizlik için ideal;1;Roborock S5 Max Robot Süpürge
Iyi ki almışım memnunuz ama suanki fiyatını görünce çıldırmamak eldedeğil ben 6 bin ken aldım;1;Roborock S5 Max Robot Süpürge
Kesinlikle her eve gerekli. Arada kafası karışıyor ama temizlikanlamında çok iyi. Hayatımın en iyi alışverişi net.;1;Roborock S5 Max Robot Süpürge
daha önce almadığıma pişman oldum. çok araştırdım en son roborock s5 Maxda karar verdim. iyikide öyle yapmışım;1;Roborock S5 Max Robot Süpürge
Üründen çok memnun kaldık Yaşam konforunu arttıran bir ürün ;1;Roborock S5 Max Robot Süpürge
Çok güzel elim ayağı oldu resmen kararsız olanlara söylüyorum kesinlikletavsiye ediyorum;1;Roborock S5 Max Robot Süpürge
Aylardır kullanıyoruz. Hrika bir alet, herkese tavsiye ederiz;1;Roborock S5 Max Robot Süpürge
Harikaa artık evi süpürme derdim yok çok memnunum;1;Roborock S5 Max Robot Süpürge
Aylarca araştırdım okumadık yazı izlemedik video bırakmadım benim gibidetaycı olanlar için söylüyorum fiyat performans en iyisi birçoközelliği mevcut kurulumu kolay uygulaması kolay en önemlisi herşeyiyleTürkçe konuşuyor ekran Türkçe yerlerim beyaz mermer olmasına rağmensilmede su lekesi bile bırakmıyor bu zamana kadar almadığıma üzüldüminanılmaz güzel;1;Roborock S5 Max Robot Süpürge
Hem supurmesi hem mob ozelligi cok guzel günlük kullanim için çok ideal;1;Roborock S5 Max Robot Süpürge
çok memnun kaldım, her gün aktif olarak kullanıyorum ;1;Roborock S5 Max Robot Süpürge
Ürün çok güzel. Hayatımızı kolaylaştırdı diyebilirim  Alınabilir,kaliteli biz beğendik ;1;Roborock S5 Max Robot Süpürge
kesinlikle ama kesinlikle iyi ki almışım diyorum aşırı memnunum;1;Roborock S5 Max Robot Süpürge
İyi ki almışım, evdeki temizlik stresini büyük ölçüde azalttı. Tekgeçişte tüm tozları, saçları alıyor, mop aparatı da leke bırakmadansiliyor. Evim için yaptığım en iyi yatırım. Yeğenim Efe'nin önerisiylealmıştım, her gün ona dua ediyorum.;1;Roborock S5 Max Robot Süpürge
Çok memnunun çok araştırdık sonunda bunu almaya karar verdik kurmasıkonumlaması çok basit süpürmesi silmesi gayet güzel şiddetle tavsiye ederim;1;Roborock S5 Max Robot Süpürge
Ürün sağlam geldi, kurulumu çalıştırması kolay, koltuklarımızınyüksekliği tam 10 cm ama altındaki sarkan kumaşını engel olarak görüpgirmiyor o da bizden kaynaklı bence, Türkçe dili de gelmiş yenişansımıza, uygulama menüsü türkçe ve Türkçe konuşuyor buda bizim extrahoşumuza gitti... Kampanyaya denk geldim ve 3927 TL ye aldm tavsiyeederim ;1;Roborock S5 Max Robot Süpürge
eve yardımcı almaya gücümüz yetmiyordu baya iş görüyor bizim selmaabladan bile daha iyi süpürüyor robotun bile daha iyi gözleri var;1;Roborock S5 Max Robot Süpürge
Uzun araştırmalarım sonucu almaya karar verdim iyi ki bunu almışımdedim. Almayı düşünenlere tavsiye ederim . Kargolama da çok hızlıydı;1;Roborock S5 Max Robot Süpürge
en çok haritalandirna konusu beni endişelendiriyordu ama çok kolaymış,uygulamanin Türkçe olması ve Türkçe konuşması da işimi cok kolaylaştırdihizli ve güvenli kargo için de firmaya teşekkürler.. keşke daha öncealsaymışım gerçekten çok iyi ;1;Roborock S5 Max Robot Süpürge
Gayet memnunum, çok araştırdım buna karar verdim;1;Roborock S5 Max Robot Süpürge
keşke daha önce daha ucuzken alsaydim günlük kurtaricim oldu;1;Roborock S5 Max Robot Süpürge
Ben çok memnunum haritalaması kullanımı çok kolay Türkçe seslendirme degeldi elim ayağım oldu ev dışından da camiatirabiliyorsunuz bazeninternetten kaynaklı sıkıntı yasayabiliyorum çünkü evim büyük ve düzdaire sadece 15 metre koridoru var uzun en sondaki odada İnternetçekmiyor diye dağıtıcı aldım problem çözüldü;1;Roborock S5 Max Robot Süpürge
Harika bir ürün çok akıllı haritlaması uygulaması herşeyi çok iyitelefonla yönetebiliyorum dışarıdan girmemesi gereken yerleriişaretliyorum büyük bir kolaylık;1;Roborock S5 Max Robot Süpürge
Harika bir yardımcı,haritalaması güzel. Teşekkür ederim.;1;Roborock S5 Max Robot Süpürge
fiyat performans ürünü aşırı beğendim kargolama özenli ve güzeldi;1;Roborock S5 Max Robot Süpürge
Çok kullanışlı ve çok temiz süpürüyor gerçekten her eve lazım cinsten;1;Roborock S5 Max Robot Süpürge
Anneme aldım, almadan önceden çok tereddüt ediyorduk ama harikatemizliyor, ilk çalıştırınca kendi kendine evin haritasını çıkarıyor.Sadece uygulamayı indirip kullanıyoruz;1;Roborock S5 Max Robot Süpürge
hayatım kolaylaştı harika hemen elime ulaştı iyiki almışım;1;Roborock S5 Max Robot Süpürge
kesinlikle tavsiye ederim her ev hanimina lazım;1;Roborock S5 Max Robot Süpürge
benim canım ... adını ivo koydum . hayatımı kolaylastirdi;1;Roborock S5 Max Robot Süpürge
Günlük temızlık için ideal, sağ kolum dıyebılırım.;1;Roborock S5 Max Robot Süpürge
harika . kızım diye sesleniyorum resmen bağ kurdum . alın aldırın;1;Roborock S5 Max Robot Süpürge
1 günde elime ulaştı.k3sinlikle harika.tel kullanmayı biliyorsanız bunuda kullanmak çok kolay.keske daha önce alsaymisim;1;Roborock S5 Max Robot Süpürge
Evimizin göz bebeği:);1;Roborock S5 Max Robot Süpürge
1 haftadır kullanıyoruz elimiz ayağımız oldu evde. Alırken çok düşündükgerçekten ederi kadar katkı sağlayacak mı diye ama hele ki evde sürekliyerlerde dolaşan bir bebek varsa şart. Çekim gücünden de baya memnunkaldık, ev bu sayede hep temiz.;1;Roborock S5 Max Robot Süpürge
Günlük kurtarıcı. Güzel. El altında olması gereken bişey;1;Roborock S5 Max Robot Süpürge
Wifi bağlantısı zayıf olduğunda haritada karışıklık yaşayabiliyor amaasla pişman değilim, iyi ki almışım, günlük temizlik için oldukça memnunum;1;Roborock S5 Max Robot Süpürge
Araştırarak aldık. Çok memnunuz. Evin yeni üyesi gibi oldu.;1;Roborock S5 Max Robot Süpürge
iyi ki almışım süper bir yardımcı;1;Roborock S5 Max Robot Süpürge
neden daha once almamisim ki mukemmel bir urun. hizli teslimat :);1;Roborock S5 Max Robot Süpürge
Çok memnunum günlük işlerimde çok yardımcı oluyor;1;Roborock S5 Max Robot Süpürge
Urun harika kurulumu cok rahat uygulama ve sesli komut turkce tavsiye ederim;1;Roborock S5 Max Robot Süpürge
Beğendim. Günlük temizlikte kurtarıcım oldu ;1;Roborock S5 Max Robot Süpürge
çok beğendim. Kurulumu kolay.;1;Roborock S5 Max Robot Süpürge
